CA DistanceNominal (au),V relative(km/s),H(mag)
0.01015,19.99,56.99999999999999
0.02156,14.12,61.99999999999999
0.01094,9.15,61.99999999999999
0.04921,5.19,65.0
0.03951,11.61,63.00000000000001
0.02761,14.37,66.0
0.04471,19.98,30.500000000000007
0.03898,8.81,65.0
0.00233,9.0,60.0
0.04595,10.3,46.99999999999999
0.02313,2.98,71.5
0.02296,13.6,36.99999999999999
0.04633,12.01,58.5
0.03621,11.73,81.0
0.00687,9.79,61.99999999999999
0.03641,3.54,66.5
0.03088,19.82,29.000000000000004
0.03562,12.47,51.5
0.03786,8.02,56.0
0.03182,17.1,45.0
0.03177,10.61,63.5
0.04281,7.46,54.49999999999999
0.02644,23.03,43.5
0.02827,18.95,34.49999999999999
0.00813,6.53,66.0
0.04518,7.66,64.0
0.00817,6.11,55.50000000000001
0.02763,9.23,62.5
0.0345,10.07,40.0
0.02449,9.5,66.5
0.03035,19.83,31.999999999999993
0.03432,10.22,41.0
0.03551,6.55,59.0
0.03285,11.39,81.0
0.04777,4.26,65.5
0.02857,11.04,33.5
0.00913,9.74,46.0
0.01082,14.74,62.5
0.03887,12.51,23.499999999999996
0.02303,15.69,57.5
0.0355,7.46,64.5
0.04738,7.86,55.50000000000001
0.04719,4.45,58.5
0.01953,8.62,66.5
0.03819,16.81,33.00000000000001
0.00429,3.74,67.0
0.04516,8.97,24.000000000000004
0.01681,13.48,70.5
0.04598,5.86,68.0
0.03482,15.55,14.500000000000002
0.04741,13.34,39.0
0.03473,1.72,67.0
0.03183,10.16,51.99999999999999
0.0287,19.56,61.99999999999999
0.02053,10.72,61.0
0.0313,5.68,49.49999999999999
0.02257,3.79,76.5
0.03318,8.71,30.999999999999996
0.02139,8.18,61.0
0.04062,13.3,36.99999999999999
0.0365,13.59,59.49999999999999
0.01032,14.36,54.49999999999999
0.03421,23.85,33.5
0.00591,7.64,68.0
0.01336,8.32,65.0
0.03803,18.74,43.5
0.01836,3.91,76.5
0.0227,11.27,69.0
0.04645,8.73,67.5
0.03133,11.53,53.5
0.01981,4.88,65.0
0.00591,11.73,57.5
0.0326,5.49,66.0
0.02374,4.72,63.00000000000001
0.01973,7.7,56.5
0.03313,7.22,59.49999999999999
0.03644,33.05,35.0
0.04667,17.47,49.49999999999999
0.02411,10.6,65.5
0.04115,20.09,43.00000000000001
0.02484,5.72,66.0
0.04187,36.85,39.0
0.01793,20.74,39.49999999999999
0.04384,9.78,32.5
0.04314,9.69,61.0
0.03409,17.36,43.00000000000001
0.01299,8.14,67.5
0.02177,14.53,65.5
0.03146,9.06,37.5
0.02025,4.7,51.99999999999999
0.03852,8.84,63.00000000000001
0.01658,2.61,77.5
0.04023,12.54,55.50000000000001
0.00644,13.38,72.0
0.03462,7.63,56.99999999999999
0.01637,4.21,73.5
0.00311,10.29,56.99999999999999
0.0346,5.56,49.0
0.04934,6.98,72.0
0.0165,4.3,72.0
0.03607,5.01,70.5
0.03546,6.75,56.5
0.0116,3.5,56.0
0.03541,9.75,56.0
0.04705,8.09,66.5
0.03712,15.55,57.5
0.0074,10.42,55.50000000000001
0.02399,13.37,36.99999999999999
0.0036,9.21,65.5
0.0321,6.38,76.0
0.01716,5.42,67.5
0.03018,6.52,65.5
0.01496,10.69,48.5
0.00372,12.38,75.0
0.0489,14.4,56.5
0.03785,7.32,62.5
0.02779,7.26,61.5
0.04879,4.55,66.5
0.01135,13.1,65.0
0.02103,6.6,64.0
0.02653,6.74,65.0
0.02317,8.33,77.0
0.01586,7.4,55.50000000000001
0.0406,10.12,36.99999999999999
0.04057,9.92,34.49999999999999
0.00683,11.36,64.5
0.04277,3.05,61.5
0.01571,12.21,70.0
0.02855,7.81,75.0
0.03842,19.32,26.999999999999993
0.04413,5.51,59.49999999999999
0.02604,10.1,39.49999999999999
0.02516,6.41,62.5
0.04473,8.13,48.00000000000001
0.03867,19.75,54.0
0.02286,10.88,67.5
0.01875,4.27,66.0
0.04138,12.66,61.5
0.01603,17.05,46.5
0.0023,15.13,74.5
0.00891,2.22,64.5
0.01295,17.68,38.00000000000001
0.04673,23.01,55.50000000000001
0.03156,1.16,59.49999999999999
0.00818,6.05,73.0
0.03327,5.15,53.5
0.02851,9.99,33.00000000000001
0.01844,7.6,41.99999999999999
0.04026,16.41,59.49999999999999
0.04305,14.67,81.0
0.03515,17.4,27.5
0.02579,6.78,59.0
0.02496,2.65,67.0
0.01071,7.19,38.00000000000001
0.02634,2.56,72.0
0.03387,9.23,79.0
0.03788,7.61,66.0
0.04984,25.88,38.5
0.0441,7.37,56.5
0.03169,9.41,67.0
0.03508,9.67,36.99999999999999
0.00622,6.17,70.0
0.03299,26.57,31.500000000000004
0.0409,9.97,61.0
0.00808,7.55,74.0
0.0376,11.85,46.99999999999999
0.02417,9.85,63.5
0.04172,19.16,56.5
0.00852,7.65,71.5
0.02387,8.47,61.5
0.04384,6.75,53.00000000000001
0.00379,7.02,76.0
0.04684,7.75,61.99999999999999
0.00767,5.61,51.0
0.00046,7.65,73.0
0.01092,5.94,68.0
0.00884,13.32,69.0
0.02101,12.43,35.50000000000001
0.01647,9.37,58.00000000000001
0.028,11.04,17.5
0.00448,10.16,66.0
0.03248,4.46,60.0
